Id,Name,Slug,"Term Taxonomy Id",Taxonomy,"Parent Id","Parent Slug",Description,"Term Group",Count,"Category Image","Woocommerce Term Meta"
18,Peças,itens,18,product_cat,0,,,0,0,,"a:5:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""87"";}}"
23,Lavanderias,lavanderias,23,product_cat,0,,,0,8,,"a:5:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""7"";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""89"";}}"
55,Planos,planos,55,product_cat,0,,,0,0,,"a:4:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}}"
56,Vendas,vendas,56,product_cat,0,,,0,0,,"a:4:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}}"
58,"Acessórios em Geral",acessorios,58,product_cat,18,itens,,0,31,,"a:7:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}s:11:""pur_control"";a:1:{i:0;s:5:""allow"";}s:17:""group_of_quantity"";a:1:{i:0;s:0:"""";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""87"";}}"
59,"Bichos de Pelúcia",bichos-de-pelucia,59,product_cat,18,itens,,0,0,,"a:5:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""87"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}}"
60,Calçados,calcados,60,product_cat,18,itens,,0,6,,"a:5:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""87"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}}"
61,"Especial Advogados(as)",especial-advogados,61,product_cat,18,itens,,0,0,,"a:7:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}s:11:""pur_control"";a:1:{i:0;s:5:""allow"";}s:17:""group_of_quantity"";a:1:{i:0;s:0:"""";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""87"";}}"
62,"Especial Bebês / Enxoval",especial-bebes,62,product_cat,18,itens,,0,0,,"a:5:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""87"";}}"
63,"Itens de Hotéis / Pousadas / Buffet / Restaurantes",itens-de-hoteis,63,product_cat,18,itens,,0,12,,"a:7:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}s:11:""pur_control"";a:1:{i:0;s:5:""allow"";}s:17:""group_of_quantity"";a:1:{i:0;s:0:"""";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""87"";}}"
64,"Especial Noivas / Casamentos",especial-noivas,64,product_cat,18,itens,,0,0,,"a:7:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}s:11:""pur_control"";a:1:{i:0;s:5:""allow"";}s:17:""group_of_quantity"";a:1:{i:0;s:0:"""";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""87"";}}"
65,"Especial Médicos / Enfermagem / Profissionais da Saúde",especial-saude,65,product_cat,18,itens,,0,18,,"a:7:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}s:11:""pur_control"";a:1:{i:0;s:5:""allow"";}s:17:""group_of_quantity"";a:1:{i:0;s:0:"""";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""87"";}}"
67,"Itens de Automóveis / Roupas de Moto",itens-de-automoveis,67,product_cat,18,itens,,0,0,,"a:7:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}s:11:""pur_control"";a:1:{i:0;s:5:""allow"";}s:17:""group_of_quantity"";a:1:{i:0;s:0:"""";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""87"";}}"
68,"Itens de Cozinha",itens-de-cozinha,68,product_cat,18,itens,,0,12,,"a:5:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""87"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}}"
69,"Itens de Casa / Domésticos",itens-de-casa,69,product_cat,18,itens,,0,18,,"a:7:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:12:""display_type"";a:1:{i:0;s:0:"""";}s:12:""thumbnail_id"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""0"";}s:11:""pur_control"";a:1:{i:0;s:5:""allow"";}s:17:""group_of_quantity"";a:1:{i:0;s:0:"""";}s:25:""dhvc_woo_page_cat_product"";a:1:{i:0;s:2:""87"";}}"
